Experiment	Tag	Anim	Date	Date/Time	Standing	Active	Lying	Steps	collar	DOP	lat	long	distance (m)	X_Act	Y_Act	% HeadDown	Activity	SMA	Diffxy	Meanxy	Varxy	logx	logy	logdiffxy	logmeanxy	logvarxy	logdistance	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123
Abdel	177492	1779	9/14/1950	11:24	0.1140	0.8860	0.0000	245	1531	2.8	35.9483467	-97.2686658	81.19	179	50	10	W	229	129	115	8320.5	2.3	1.7	2.1	2.1	3.9	1.9	3.7	4.2	213.8	4.6	219.3	23.9	97.6	104.3	98.0	105.8
Abdel	177379	1553	9/14/1950	11:24	0.1284	0.8716	0.0000	232	1535	2.8	35.9483350	-97.2686272	80.99	206	16	19	W	222	190	111	18050	2.3	1.2	2.3	2.0	4.3	1.9	0.9	213.9	109.1	215.6	476.3	3.7	21.0	94.3	27.6	101.8
Abdel	177360	1635	9/14/1950	11:24	0.1196	0.8804	0.0000	224	1525	2.5	35.9483403	-97.2686194	80.81	36	86	39	W	122	-50	61	1250	1.6	1.9	1.7	1.8	3.1	1.9	214.7	108.5	190.2	475.4	719.1	0.9	4.2	20.2	4.6	28.5
Abdel	177416	1646	10/6/1950	12:50	0.8468	0.1532	0.0000	40	1527	3.1	35.9465578	-97.2695358	80.67	119	16	77	G	135	103	68	5304.5	2.1	1.2	2.0	1.8	3.7	1.9	260.7	27.4	19.3	504.4	512.7	214.7	213.9	213.8	215.6	219.3
Abdel	177379	1553	9/14/1950	11:32	0.1238	0.8762	0.0000	233	1535	2.8	35.9481700	-97.2674325	80.39	198	19	22	W	217	179	109	16020.5	2.3	1.3	2.3	2.0	4.2	1.9	243.7	247.4	208.5	251.9	330.1	260.7	108.5	109.1	475.4	476.3
Abdel	177386	1636	10/5/1950	11:41	0.2572	0.7428	0.0000	205	1524	2.6	35.9468039	-97.2695494	79.26	67	57	17	G	124	10	62	50	1.8	1.8	1.0	1.8	1.7	1.9	8.2	81.9	203.2	86.4	288.6	243.7	27.4	190.2	504.4	719.1
Abdel	177416	1646	10/5/1950	11:41	0.3160	0.6840	0.0000	186	1527	2.7	35.9467317	-97.2695297	78.84	51	0	100	G	51	51	26	1300.5	1.7	#NUM!	1.7	1.4	3.1	1.9	78.2	209.4	62.0	280.4	477.6	8.2	247.4	19.3	251.9	512.7
Abdel	177442	1677	10/5/1950	11:45	0.5516	0.4484	0.0000	96	1538	2.2	35.9465900	-97.2686792	78.37	5	117	55	RS	122	-112	61	6272	0.7	2.1	2.0	1.8	3.8	1.9	202.2	16.8	45.5	399.4	436.7	78.2	81.9	208.5	86.4	330.1
Abdel	177492	1779	9/14/1950	13:07	0.2180	0.7820	0.0000	209	1531	2.4	35.9483992	-97.2684478	77.74	152	28	9	W	180	124	90	7688	2.2	1.4	2.1	2.0	3.9	1.9	197.2	160.0	87.1	234.4	405.6	202.2	209.4	203.2	280.4	288.6
Abdel	177492	1713	10/5/1950	11:28	0.1140	0.8860	0.0000	227	1532	2.7	35.9466556	-97.2688475	77.30	179	58	27	W	237	121	119	7320.5	2.3	1.8	2.1	2.1	3.9	1.9	37.2	202.9	17.0	208.4	407.2	197.2	16.8	62.0	399.4	477.6
Abdel	177406	1635	10/6/1950	11:19	0.4490	0.5510	0.0000	137	1530	2.0	35.9469881	-97.2687983	76.32	101	47	72	W	148	54	74	1458	2.0	1.7	1.7	1.9	3.2	1.9	171.2	44.1	3.4	370.0	415.0	37.2	160.0	45.5	234.4	436.7
Abdel	177360	1635	9/14/1950	11:32	0.1322	0.8678	0.0000	210	1525	2.5	35.9481392	-97.2675356	74.32	58	62	53	W	120	-4	60	8	1.8	1.8	0.6	1.8	0.9	1.9	198.8	168.0	206.8	243.8	292.9	171.2	202.9	87.1	208.4	405.6
Abdel	177386	1636	10/6/1950	11:50	0.6380	0.3620	0.0000	99	1524	2.2	35.9466050	-97.2686694	73.42	92	34	14	G	126	58	63	1682	2.0	1.5	1.8	1.8	3.2	1.9	45.0	69.5	174.5	94.1	250.8	198.8	44.1	17.0	370.0	407.2
Abdel	177386	1636	10/6/1950	11:19	0.4892	0.5108	0.0000	128	1524	2.2	35.9470019	-97.2687650	71.45	176	70	35	W	246	106	123	5618	2.2	1.8	2.0	2.1	3.7	1.9	49.2	132.8	40.7	205.9	357.9	45.0	168.0	3.4	243.8	415.0
Abdel	177386	1636	10/5/1950	13:03	0.1026	0.8974	0.0000	245	1524	2.7	35.9469561	-97.2693083	70.98	116	6	4	W	122	110	61	6050	2.1	0.8	2.0	1.8	3.8	1.9	156.7	8.5	41.3	308.7	341.6	49.2	69.5	206.8	94.1	292.9
Abdel	177379	1553	9/15/1950	9:23	0.6676	0.3324	0.0000	79	1535	2.4	35.9481592	-97.2684022	70.21	36	157	44	RS	193	-121	97	7320.5	1.6	2.2	2.1	2.0	3.9	1.8	152.0	141.9	164.5	184.9	253.6	156.7	132.8	174.5	205.9	250.8
Abdel	177492	1713	10/6/1950	11:37	0.0294	0.9706	0.0000	252	1532	2.5	35.9469603	-97.2692142	69.54	79	26	26	W	105	53	53	1404.5	1.9	1.4	1.7	1.7	3.1	1.8	32.8	100.5	6.7	101.6	208.6	152.0	8.5	40.7	308.7	357.9
Abdel	177492	1713	10/6/1950	11:19	0.3782	0.6218	0.0000	163	1532	3.6	35.9469353	-97.2688506	69.31	170	41	17	W	211	129	106	8320.5	2.2	1.6	2.1	2.0	3.9	1.8	68.8	39.5	139.6	175.7	328.1	32.8	141.9	41.3	184.9	341.6
Abdel	177386	1636	10/6/1950	13:03	0.4882	0.5118	0.0000	143	1524	2.4	35.9466947	-97.2681469	68.50	149	32	12	W	181	117	91	6844.5	2.2	1.5	2.1	2.0	3.8	1.8	107.0	163.1	189.7	259.4	324.3	68.8	100.5	164.5	101.6	253.6
